Question,Nationality,Gender,Rank,Percentage
They have a sense of humour I like,British,Men,5,0.08
They have a sense of humour I like,British,Men,6,0.02
They are intelligent,British,Men,1,0.1
They are intelligent,British,Men,2,0.13
They are intelligent,British,Men,3,0.22
They are intelligent,British,Men,4,0.26
They are intelligent,British,Men,5,0.27
They are intelligent,British,Men,6,0.02
They have/make a decent amount of money,British,Men,1,0.01
They have/make a decent amount of money,British,Men,2,0.02
They have/make a decent amount of money,British,Men,3,0.02
They have/make a decent amount of money,British,Men,4,0.02
They have/make a decent amount of money,British,Men,5,0.09
They have/make a decent amount of money,British,Men,6,0.85
They have similar interests to me,British,Men,1,0.1
They have similar interests to me,British,Men,2,0.16
They have similar interests to me,British,Men,3,0.2
They have similar interests to me,British,Men,4,0.25
They have similar interests to me,British,Men,5,0.26
They have similar interests to me,British,Men,6,0.03
They are good looking,British,Women,1,0.05
They are good looking,British,Women,2,0.06
They are good looking,British,Women,3,0.09
They are good looking,British,Women,4,0.17
They are good looking,British,Women,5,0.41
They are good looking,British,Women,6,0.21
They have a personality I like,British,Women,1,0.52
They have a personality I like,British,Women,2,0.25
They have a personality I like,British,Women,3,0.16
They have a personality I like,British,Women,4,0.05
They have a personality I like,British,Women,5,0.02
They have a personality I like,British,Women,6,0.01
They have a sense of humour I like,British,Women,1,0.21
They have a sense of humour I like,British,Women,2,0.33
They have a sense of humour I like,British,Women,3,0.24
They have a sense of humour I like,British,Women,4,0.14
They have a sense of humour I like,British,Women,5,0.07
They have a sense of humour I like,British,Women,6,0.01
They are intelligent,British,Women,1,0.08
They are intelligent,British,Women,2,0.14
They are intelligent,British,Women,3,0.2
They are intelligent,British,Women,4,0.39
They are intelligent,British,Women,5,0.16
They are intelligent,British,Women,6,0.04
They have/make a decent amount of money,British,Women,1,0.01
They have/make a decent amount of money,British,Women,2,0.02
They have/make a decent amount of money,British,Women,3,0.03
They have/make a decent amount of money,British,Women,4,0.05
They have/make a decent amount of money,British,Women,5,0.22
They have/make a decent amount of money,British,Women,6,0.67
They have similar interests to me,British,Women,1,0.13
They have similar interests to me,British,Women,2,0.21
They have similar interests to me,British,Women,3,0.28
They have similar interests to me,British,Women,4,0.2
